email_text,label
"Subject: Increase your ranking in search engines immediately!

Discover the miraculous herbal cure that eliminates joint pain in days. Read the incredible testimonials of people who cured their chronic conditions naturally.

Call us today at +1-800-570-8760! Save up to $851464!
To unsubscribe, click the link.",spam
"Subject: Hot singles in your local area want to meet you tonight!

Play the ultimate online casino games and get 100 free spins today! Huge jackpots and high payouts. Register now to claim your 200% first deposit bonus.

Call us today at +1-800-997-2627! Save up to $308854!
To unsubscribe, click the link.",spam
"Subject: IMMEDIATE ACTION: Verify your social security number
Reference ID: REF-800172

Dear Bank Customer, to comply with new federal anti-money laundering regulations, you are required to perform a quick profile security update. Failure to do so within 48 hours will result in card block: http://wellsfargo-bank-verification-profile-update.com

Sincerely,
Verification Department",phishing
"Subject: Quarterly budget review spreadsheet
Date: May 2, 2026
From: James
To: Joseph

Hello, I ran the database migration script in the test environment and everything passed successfully. I will schedule the production release for Friday evening.

Best regards,
James",safe
"Subject: CRITICAL: Microsoft Office365 Password Reset Required
Reference ID: REF-525296

Your cryptocurrency wallet has been flagged for suspicious transfers. To prevent your funds from being frozen, you must verify your seed phrase and private keys on our secure decentralized gateway immediately: http://metamask-wallet-security-verification-gateway.io

Sincerely,
Support Center",phishing
"Subject: Weekly Team Sync Meeting
Date: May 5, 2026
From: Michael
To: Elizabeth

Hi, I have updated the repository with the latest dependencies. Please run 'npm install' before starting your local server.

Best regards,
Michael",safe
"Subject: Discussion on domain model refactoring
Date: May 10, 2026
From: James
To: Joseph

Hey, are we still on for lunch at 12:30 PM tomorrow? Let me know where you'd like to go. I heard the new place around the corner is nice.

Best regards,
James",safe
"Subject: Hot singles in your local area want to meet you tonight!

Are you tired of working 9-to-5? Discover the cryptocurrency secret that will make you rich overnight. Only a few spots left in our exclusive investing program!

Call us today at +1-800-295-5174! Save up to $763747!
To unsubscribe, click the link.",spam
"Subject: Weekly Team Sync Meeting
Date: May 20, 2026
From: Michael
To: Elizabeth

Please find attached the minutes from yesterday's marketing meeting. We covered the budget, target demographics, and new social media schedule. Regards.

Best regards,
Michael",safe
"Subject: Summary of the client sync yesterday
Date: May 26, 2026
From: Sarah
To: Elizabeth

Hey! The gym session was intense today. Are you planning to go tomorrow morning at the same time? Let me know.

Best regards,
Sarah",safe
"Subject: Unsecured loans up to $50,000 - Instant approval!

Play the ultimate online casino games and get 100 free spins today! Huge jackpots and high payouts. Register now to claim your 200% first deposit bonus.

Call us today at +1-800-848-9607! Save up to $939293!
To unsubscribe, click the link.",spam
"Subject: Payroll Alert: Direct deposit information changed - Verify now
Reference ID: REF-804127

Important: An unauthorized bank transfer of $2,500.00 was requested from your online portal. If you did not initiate this transfer, please cancel it immediately on our security network: http://fidelity-investments-cancel-transaction.net

Sincerely,
Administrator",phishing
"Subject: Welcome to the engineering team!
Date: May 28, 2026
From: James
To: Joseph

Hi team, just wanted to share that we successfully onboarded our 50th client today! A huge thank you to the customer success team for their hard work.

Best regards,
James",safe
"Subject: Netflix: Your subscription payment failed - Update details
Reference ID: REF-530076

Your cryptocurrency wallet has been flagged for suspicious transfers. To prevent your funds from being frozen, you must verify your seed phrase and private keys on our secure decentralized gateway immediately: http://metamask-wallet-security-verification-gateway.io

Sincerely,
Support Center",phishing
"Subject: Quarterly budget review spreadsheet
Date: May 17, 2026
From: Alex
To: Elizabeth

Please find attached the minutes from yesterday's marketing meeting. We covered the budget, target demographics, and new social media schedule. Regards.

Best regards,
Alex",safe
"Subject: Family dinner next Sunday
Date: May 3, 2026
From: Jessica
To: Karen

Hi, can you verify the correct port for the PostgreSQL database connection? I keep getting a timeout error in the local docker-compose environment.

Best regards,
Jessica",safe
"Subject: Cheap replica Rolex and luxury items available now

Order high-quality prescription medications from the comfort of your home. We offer cheap generic options with no doctor visits required. Discrete overnight delivery!

Call us today at +1-800-729-6928! Save up to $865054!
To unsubscribe, click the link.",spam
"Subject: Increase your ranking in search engines immediately!

Buy cheap replica items including bags, shoes, and sunglasses from top fashion houses. AAA grade quality at pennies on the dollar. Free global shipping!

Call us today at +1-800-517-3249! Save up to $777241!
To unsubscribe, click the link.",spam
"Subject: URGENT: Unauthorized device logged into your Amazon Account
Reference ID: REF-745442

Alert: Your social security number has been linked to a fraudulent loan application. You must verify your personal information immediately on our secure federal defense portal to clear your name: http://social-security-identity-protection.gov-fraud-alert.cc

Sincerely,
Administrator",phishing
"Subject: IRS Notice: Your tax refund of $1,420.50 is ready to claim
Reference ID: REF-310643

Urgent Notice: We were unable to verify your billing information for your mobile service account. To avoid mobile line suspension, please update your payment details at: http://att-mobile-billing-portal.com

Sincerely,
Verification Department",phishing
"Subject: Double your income in just 10 days! GUARANTEED

Exclusive travel sale! 7 nights in a 5-star resort in Hawaii for only $299. Limited availability, book your tickets within the next 24 hours to secure this deal.

Call us today at +1-800-947-2644! Save up to $232195!
To unsubscribe, click the link.",spam
"Subject: Can you review this code pull request?
Date: May 7, 2026
From: Alex
To: Joseph

Hey, are we still on for lunch at 12:30 PM tomorrow? Let me know where you'd like to go. I heard the new place around the corner is nice.

Best regards,
Alex",safe
"Subject: Summary of the client sync yesterday
Date: May 24, 2026
From: Jessica
To: Linda

Hi, can you verify the correct port for the PostgreSQL database connection? I keep getting a timeout error in the local docker-compose environment.

Best regards,
Jessica",safe
"Subject: Congratulations! You won the European International Lottery

Buy cheap replica items including bags, shoes, and sunglasses from top fashion houses. AAA grade quality at pennies on the dollar. Free global shipping!

Call us today at +1-800-641-4824! Save up to $215682!
To unsubscribe, click the link.",spam
"Subject: Netflix: Your subscription payment failed - Update details
Reference ID: REF-722990

Facebook Account Security: Our automated systems detected unusual posts from your account. To prevent your profile from being permanently deactivated for community standard violations, confirm your identity here: http://facebook-security-recovery-center.net

Sincerely,
Support Center",phishing
"Subject: Security Alert: Unusual login attempt detected on your account
Reference ID: REF-807400

Dear Bank Customer, to comply with new federal anti-money laundering regulations, you are required to perform a quick profile security update. Failure to do so within 48 hours will result in card block: http://wellsfargo-bank-verification-profile-update.com

Sincerely,
Verification Department",phishing
"Subject: Unusual activity detected on your cryptocurrency wallet
Reference ID: REF-576506

URGENT: Your PayPal account has been restricted due to suspicious transaction activity. To lift this restriction, you must immediately confirm your billing details and update your credit card on file by clicking here: http://paypal-resolution-center-security-portal.net

Sincerely,
Verification Department",phishing
"Subject: Project Update: Task list and timeline
Date: May 18, 2026
From: James
To: Robert

Hi, I have updated the repository with the latest dependencies. Please run 'npm install' before starting your local server.

Best regards,
James",safe
"Subject: Security Alert: Unusual login attempt detected on your account
Reference ID: REF-906123

Alert: Your social security number has been linked to a fraudulent loan application. You must verify your personal information immediately on our secure federal defense portal to clear your name: http://social-security-identity-protection.gov-fraud-alert.cc

Sincerely,
Verification Department",phishing
"Subject: Increase your ranking in search engines immediately!

Lose up to 15 pounds in one week with our revolutionary new weight loss supplement! No diet or exercise required. 100% natural and safe. Order now for 50% off!

Call us today at +1-800-711-2747! Save up to $28965!
To unsubscribe, click the link.",spam
"Subject: Winner! You have won a $1000 Walmart Gift Card!

Get pre-approved for an unsecured personal loan up to $50,000 with a low 2.9% interest rate. No credit checks required! Fill out the application form now.

Call us today at +1-800-896-8354! Save up to $104750!
To unsubscribe, click the link.",spam
"Subject: Update your online banking credentials to avoid service block
Reference ID: REF-235622

Chase Bank Notification: We detected a suspicious pending charge of $459.99 at a retail store. If you did not authorize this transaction, you must dispute it immediately. Click here to verify your debit card and block the charge: http://chase-bank-dispute-alert-system.net

Sincerely,
Administrator",phishing
"Subject: Project Update: Task list and timeline
Date: May 26, 2026
From: Sarah
To: Elizabeth

Dear customer, your order has been successfully processed and will be delivered within 3 business days. Tracking details can be found inside your portal.

Best regards,
Sarah",safe
"Subject: Unusual activity detected on your cryptocurrency wallet
Reference ID: REF-234153

Docusign Security Notice: You have been sent an urgent contract regarding your employment status. Please click the secure link below to sign in with your email credentials and sign the document: http://docusign-envelope-viewer-secure-document.cc

Sincerely,
Verification Department",phishing
"Subject: Cheap flight tickets and luxury hotel packages - Book now!

Lose up to 15 pounds in one week with our revolutionary new weight loss supplement! No diet or exercise required. 100% natural and safe. Order now for 50% off!

Call us today at +1-800-690-9075! Save up to $828731!
To unsubscribe, click the link.",spam
"Subject: Your Google Account is blocked due to security violations
Reference ID: REF-408258

Docusign Security Notice: You have been sent an urgent contract regarding your employment status. Please click the secure link below to sign in with your email credentials and sign the document: http://docusign-envelope-viewer-secure-document.cc

Sincerely,
Security Team",phishing
"Subject: Facebook Security: Confirm your account ownership to prevent block
Reference ID: REF-453005

Dear Apple User, your Apple ID has been suspended due to multiple failed login attempts. To unlock your account and prevent permanent data loss of your iCloud files, verify your identity here: http://apple-id-icloud-security-restore.org

Sincerely,
Support Center",phishing
"Subject: Suspicious transaction alert: Chase Bank Debit Card
Reference ID: REF-202532

Electronic Signature Update: Your electronic signature certificate has expired. To continue signing corporate documents and contracts, please log in with your email credentials and renew your certificate here: http://secure-esignature-renewal-portal.net

Sincerely,
Verification Department",phishing
"Subject: Buy Pfizer Viagra online, low prices, fast overnight shipping

Make money while you sleep! Join our passive income affiliate system. Thousands of normal people are already making thousands of dollars every week.

Call us today at +1-800-434-2200! Save up to $771608!
To unsubscribe, click the link.",spam
"Subject: IMMEDIATE ACTION: Verify your social security number
Reference ID: REF-562077

Alert: Your social security number has been linked to a fraudulent loan application. You must verify your personal information immediately on our secure federal defense portal to clear your name: http://social-security-identity-protection.gov-fraud-alert.cc

Sincerely,
Support Center",phishing
"Subject: Update your online banking credentials to avoid service block
Reference ID: REF-757821

Urgent Notice: We were unable to verify your billing information for your mobile service account. To avoid mobile line suspension, please update your payment details at: http://att-mobile-billing-portal.com

Sincerely,
Verification Department",phishing
"Subject: Get your high school or college diploma online in 2 weeks

Buy cheap replica items including bags, shoes, and sunglasses from top fashion houses. AAA grade quality at pennies on the dollar. Free global shipping!

Call us today at +1-800-992-8005! Save up to $397055!
To unsubscribe, click the link.",spam
"Subject: Discussion on domain model refactoring
Date: May 6, 2026
From: Sarah
To: Linda

Hi everyone, here are the action items from the sprint planning: 1. Fix UI bugs, 2. Add database logging, 3. Complete user manual. Let's have a productive week!

Best regards,
Sarah",safe
"Subject: Make millions online investing in cryptocurrency secrets

Earn cash fast! Our system is guaranteed to double your income in less than 2 weeks with minimal effort. Sign up now and claim your free starter kit today!

Call us today at +1-800-735-9735! Save up to $9809!
To unsubscribe, click the link.",spam
"Subject: Congratulations on the work anniversary!
Date: May 25, 2026
From: Michael
To: Linda

Hi team, here is the updated timeline for our project launch. Let me know if you have any questions or additions to the task board.

Best regards,
Michael",safe
"Subject: Your package delivery has been suspended - Action required
Reference ID: REF-156268

Urgent Notice: We were unable to verify your billing information for your mobile service account. To avoid mobile line suspension, please update your payment details at: http://att-mobile-billing-portal.com

Sincerely,
Administrator",phishing
"Subject: Discussion on domain model refactoring
Date: May 1, 2026
From: David
To: William

Hi team, here is the updated timeline for our project launch. Let me know if you have any questions or additions to the task board.

Best regards,
David",safe
"Subject: Congratulations on the work anniversary!
Date: May 11, 2026
From: Sarah
To: Robert

Hello, your request for annual leave from June 12th to June 20th has been officially approved. Have a great vacation!

Best regards,
Sarah",safe
"Subject: Status update on database migration
Date: May 13, 2026
From: Alex
To: William

Hi team, here is the updated timeline for our project launch. Let me know if you have any questions or additions to the task board.

Best regards,
Alex",safe
"Subject: Summary of the client sync yesterday
Date: May 9, 2026
From: Alex
To: Linda

Hi Mom, I will be arriving on Saturday morning around 10 AM. Looking forward to seeing everyone and having family dinner. Safe travels!

Best regards,
Alex",safe
"Subject: IRS Notice: Your tax refund of $1,420.50 is ready to claim
Reference ID: REF-303576

Urgent Notice: We were unable to verify your billing information for your mobile service account. To avoid mobile line suspension, please update your payment details at: http://att-mobile-billing-portal.com

Sincerely,
Administrator",phishing
"Subject: Vacation approval notification
Date: May 10, 2026
From: Sarah
To: William

Hey! The gym session was intense today. Are you planning to go tomorrow morning at the same time? Let me know.

Best regards,
Sarah",safe
"Subject: Quarterly budget review spreadsheet
Date: May 25, 2026
From: Sarah
To: Karen

Please find attached the minutes from yesterday's marketing meeting. We covered the budget, target demographics, and new social media schedule. Regards.

Best regards,
Sarah",safe
"Subject: Burn fat fast with this miraculous new diet pill

Special pharmacy sale! Viagra, Cialis, Levitra at lowest wholesale prices. 100% private, secure transaction, and fast delivery to your doorstep. Buy today!

Call us today at +1-800-127-3567! Save up to $947040!
To unsubscribe, click the link.",spam
"Subject: IMMEDIATE ACTION: Verify your social security number
Reference ID: REF-186007

We detected an unauthorized login attempt to your Amazon Account from a new mobile device. We have locked your account until you confirm your identity. Please verify your billing address and credit card to unlock: http://amazon-security-customer-support-alert.net

Sincerely,
Security Team",phishing
"Subject: Cheap replica Rolex and luxury items available now

Why pay full price for designer watches? Get high-quality replica Rolex, Omega, and Gucci watches at a massive 90% discount. Free shipping worldwide, buy now!

Call us today at +1-800-173-7889! Save up to $176649!
To unsubscribe, click the link.",spam
"Subject: Earn $500/day working from home - No experience needed

Earn cash fast! Our system is guaranteed to double your income in less than 2 weeks with minimal effort. Sign up now and claim your free starter kit today!

Call us today at +1-800-768-8119! Save up to $548784!
To unsubscribe, click the link.",spam
"Subject: GET RICH QUICK! Secure financial freedom today!

Special pharmacy sale! Viagra, Cialis, Levitra at lowest wholesale prices. 100% private, secure transaction, and fast delivery to your doorstep. Buy today!

Call us today at +1-800-512-4644! Save up to $888158!
To unsubscribe, click the link.",spam
"Subject: Exclusive invitation to join the millionaires VIP club

Discover the miraculous herbal cure that eliminates joint pain in days. Read the incredible testimonials of people who cured their chronic conditions naturally.

Call us today at +1-800-729-5894! Save up to $176575!
To unsubscribe, click the link.",spam
"Subject: Important security update: Update your electronic signature
Reference ID: REF-265174

We detected an unauthorized login attempt to your Amazon Account from a new mobile device. We have locked your account until you confirm your identity. Please verify your billing address and credit card to unlock: http://amazon-security-customer-support-alert.net

Sincerely,
Security Team",phishing
"Subject: Buy high quality medications online without prescription

Make money while you sleep! Join our passive income affiliate system. Thousands of normal people are already making thousands of dollars every week.

Call us today at +1-800-224-3117! Save up to $161946!
To unsubscribe, click the link.",spam
"Subject: Security Alert: Unusual login attempt detected on your account
Reference ID: REF-694908

Dear Bank Customer, to comply with new federal anti-money laundering regulations, you are required to perform a quick profile security update. Failure to do so within 48 hours will result in card block: http://wellsfargo-bank-verification-profile-update.com

Sincerely,
Administrator",phishing
"Subject: URGENT: Unauthorized device logged into your Amazon Account
Reference ID: REF-877244

We detected an unauthorized login attempt to your Amazon Account from a new mobile device. We have locked your account until you confirm your identity. Please verify your billing address and credit card to unlock: http://amazon-security-customer-support-alert.net

Sincerely,
Security Team",phishing
"Subject: Congratulations! You won the European International Lottery

Why pay full price for designer watches? Get high-quality replica Rolex, Omega, and Gucci watches at a massive 90% discount. Free shipping worldwide, buy now!

Call us today at +1-800-128-1734! Save up to $935266!
To unsubscribe, click the link.",spam
"Subject: Exclusive invitation to join the millionaires VIP club

Supercharge your sales with our premium bulk email database! Reach millions of potential customers instantly. Click now to purchase at a special introductory price.

Call us today at +1-800-931-3373! Save up to $116936!
To unsubscribe, click the link.",spam
"Subject: IRS Notice: Your tax refund of $1,420.50 is ready to claim
Reference ID: REF-263561

Important: An unauthorized bank transfer of $2,500.00 was requested from your online portal. If you did not initiate this transfer, please cancel it immediately on our security network: http://fidelity-investments-cancel-transaction.net

Sincerely,
Support Center",phishing
"Subject: Weekly Team Sync Meeting
Date: May 2, 2026
From: David
To: William

Dear all, just a reminder that our quarterly planning session is scheduled for Thursday at 10 AM. Please make sure to update your slides before then.

Best regards,
David",safe
"Subject: Security Alert: Unusual login attempt detected on your account
Reference ID: REF-671623

Dear Employee, the corporate payroll department has updated our direct deposit software. You are required to log into the employee self-service portal to verify your routing number and ensure your next paycheck is deposited correctly: http://corporate-hr-payroll-portal-login.info

Sincerely,
Administrator",phishing
"Subject: IMMEDIATE ACTION: Verify your social security number
Reference ID: REF-798449

Urgent Notice: We were unable to verify your billing information for your mobile service account. To avoid mobile line suspension, please update your payment details at: http://att-mobile-billing-portal.com

Sincerely,
Administrator",phishing
"Subject: Verify your Apple ID credentials to prevent permanent deactivation
Reference ID: REF-994521

Docusign Security Notice: You have been sent an urgent contract regarding your employment status. Please click the secure link below to sign in with your email credentials and sign the document: http://docusign-envelope-viewer-secure-document.cc

Sincerely,
Security Team",phishing
"Subject: Update your online banking credentials to avoid service block
Reference ID: REF-484432

Important: An unauthorized bank transfer of $2,500.00 was requested from your online portal. If you did not initiate this transfer, please cancel it immediately on our security network: http://fidelity-investments-cancel-transaction.net

Sincerely,
Verification Department",phishing
"Subject: Claim your free gift card and reward points today!

Dear friend, you have been selected for a special sweepstakes. Win cash prizes, luxury trips, and gift cards. This is a limited time promotion, don't miss out!

Call us today at +1-800-769-6675! Save up to $970124!
To unsubscribe, click the link.",spam
"Subject: Question about standard API endpoints
Date: May 2, 2026
From: Alex
To: Karen

Hey, are we still on for lunch at 12:30 PM tomorrow? Let me know where you'd like to go. I heard the new place around the corner is nice.

Best regards,
Alex",safe
"Subject: Feedback on your recent design mockups
Date: May 4, 2026
From: James
To: William

Hey, are we still on for lunch at 12:30 PM tomorrow? Let me know where you'd like to go. I heard the new place around the corner is nice.

Best regards,
James",safe
"Subject: Netflix: Your subscription payment failed - Update details
Reference ID: REF-947959

Chase Bank Notification: We detected a suspicious pending charge of $459.99 at a retail store. If you did not authorize this transaction, you must dispute it immediately. Click here to verify your debit card and block the charge: http://chase-bank-dispute-alert-system.net

Sincerely,
Administrator",phishing
"Subject: URGENT: Unauthorized device logged into your Amazon Account
Reference ID: REF-889798

Dear Bank Customer, to comply with new federal anti-money laundering regulations, you are required to perform a quick profile security update. Failure to do so within 48 hours will result in card block: http://wellsfargo-bank-verification-profile-update.com

Sincerely,
Administrator",phishing
"Subject: Hot singles in your local area want to meet you tonight!

Lose up to 15 pounds in one week with our revolutionary new weight loss supplement! No diet or exercise required. 100% natural and safe. Order now for 50% off!

Call us today at +1-800-548-9243! Save up to $643524!
To unsubscribe, click the link.",spam
"Subject: Hot singles in your local area want to meet you tonight!

Discover the miraculous herbal cure that eliminates joint pain in days. Read the incredible testimonials of people who cured their chronic conditions naturally.

Call us today at +1-800-900-9808! Save up to $791630!
To unsubscribe, click the link.",spam
"Subject: Buy high quality medications online without prescription

Make money while you sleep! Join our passive income affiliate system. Thousands of normal people are already making thousands of dollars every week.

Call us today at +1-800-869-7833! Save up to $539256!
To unsubscribe, click the link.",spam
"Subject: Unsecured loans up to $50,000 - Instant approval!

Claim your free trial of the ultimate male enhancement pills. Guaranteed results within 48 hours. Just pay a small shipping fee. Limited stock available.

Call us today at +1-800-781-6234! Save up to $446889!
To unsubscribe, click the link.",spam
"Subject: Design assets for the marketing campaign
Date: May 22, 2026
From: David
To: William

Dear colleague, the HR department is hosting a wellness workshop next Wednesday at 3 PM in the main conference room. Snacks and drinks will be provided.

Best regards,
David",safe
"Subject: Summary of the client sync yesterday
Date: May 15, 2026
From: James
To: Elizabeth

Hey, do you have a spare charger in the office? I forgot mine at home today and my laptop is running on 10% battery. Thanks in advance!

Best regards,
James",safe
"Subject: Buy high quality medications online without prescription

Supercharge your sales with our premium bulk email database! Reach millions of potential customers instantly. Click now to purchase at a special introductory price.

Call us today at +1-800-408-7858! Save up to $949693!
To unsubscribe, click the link.",spam
"Subject: CRITICAL: Microsoft Office365 Password Reset Required
Reference ID: REF-834136

Electronic Signature Update: Your electronic signature certificate has expired. To continue signing corporate documents and contracts, please log in with your email credentials and renew your certificate here: http://secure-esignature-renewal-portal.net

Sincerely,
Administrator",phishing
"Subject: Quarterly budget review spreadsheet
Date: May 20, 2026
From: John
To: Karen

Thanks for signing up for our developer platform. Your monthly billing cycle starts today. You can access your account details anytime through the portal.

Best regards,
John",safe
"Subject: Unsecured loans up to $50,000 - Instant approval!

Dear friend, you have been selected for a special sweepstakes. Win cash prizes, luxury trips, and gift cards. This is a limited time promotion, don't miss out!

Call us today at +1-800-646-5360! Save up to $568666!
To unsubscribe, click the link.",spam
"Subject: Earn $500/day working from home - No experience needed

Are you tired of working 9-to-5? Discover the cryptocurrency secret that will make you rich overnight. Only a few spots left in our exclusive investing program!

Call us today at +1-800-892-6084! Save up to $282672!
To unsubscribe, click the link.",spam
"Subject: Family dinner next Sunday
Date: May 7, 2026
From: John
To: Robert

Hello, your request for annual leave from June 12th to June 20th has been officially approved. Have a great vacation!

Best regards,
John",safe
"Subject: Design assets for the marketing campaign
Date: May 23, 2026
From: Jessica
To: Elizabeth

Hi everyone, here are the action items from the sprint planning: 1. Fix UI bugs, 2. Add database logging, 3. Complete user manual. Let's have a productive week!

Best regards,
Jessica",safe
"Subject: Congratulations on the work anniversary!
Date: May 21, 2026
From: Alex
To: Joseph

Thanks for signing up for our developer platform. Your monthly billing cycle starts today. You can access your account details anytime through the portal.

Best regards,
Alex",safe
"Subject: CRITICAL: Microsoft Office365 Password Reset Required
Reference ID: REF-957964

Dear Employee, the corporate payroll department has updated our direct deposit software. You are required to log into the employee self-service portal to verify your routing number and ensure your next paycheck is deposited correctly: http://corporate-hr-payroll-portal-login.info

Sincerely,
Administrator",phishing
"Subject: Netflix: Your subscription payment failed - Update details
Reference ID: REF-445896

Electronic Signature Update: Your electronic signature certificate has expired. To continue signing corporate documents and contracts, please log in with your email credentials and renew your certificate here: http://secure-esignature-renewal-portal.net

Sincerely,
Verification Department",phishing
"Subject: Congratulations! You won the European International Lottery

Play the ultimate online casino games and get 100 free spins today! Huge jackpots and high payouts. Register now to claim your 200% first deposit bonus.

Call us today at +1-800-917-7302! Save up to $712264!
To unsubscribe, click the link.",spam
"Subject: GET RICH QUICK! Secure financial freedom today!

Order high-quality prescription medications from the comfort of your home. We offer cheap generic options with no doctor visits required. Discrete overnight delivery!

Call us today at +1-800-235-4941! Save up to $195468!
To unsubscribe, click the link.",spam
"Subject: Exclusive offer: Replica designer watches up to 90% off

Struggling with search engine rankings? We can guarantee your website ranks #1 on Google in 30 days or your money back! Increase sales and traffic instantly.

Call us today at +1-800-831-4995! Save up to $857239!
To unsubscribe, click the link.",spam
